channel,url,status,valid,reason
298,https://peaky.techcoder40.workers.dev/298.m3u8,500,False,HTTP 500
299,https://peaky.techcoder40.workers.dev/299.m3u8,500,False,HTTP 500
300,https://peaky.techcoder40.workers.dev/300.m3u8,500,False,HTTP 500
301,https://peaky.techcoder40.workers.dev/301.m3u8,500,False,HTTP 500
302,https://peaky.techcoder40.workers.dev/302.m3u8,500,False,HTTP 500
303,https://peaky.techcoder40.workers.dev/303.m3u8,500,False,HTTP 500
304,https://peaky.techcoder40.workers.dev/304.m3u8,500,False,HTTP 500
305,https://peaky.techcoder40.workers.dev/305.m3u8,500,False,HTTP 500
306,https://peaky.techcoder40.workers.dev/306.m3u8,500,False,HTTP 500
307,https://peaky.techcoder40.workers.dev/307.m3u8,500,False,HTTP 500
308,https://peaky.techcoder40.workers.dev/308.m3u8,500,False,HTTP 500
309,https://peaky.techcoder40.workers.dev/309.m3u8,500,False,HTTP 500
310,https://peaky.techcoder40.workers.dev/310.m3u8,500,False,HTTP 500
311,https://peaky.techcoder40.workers.dev/311.m3u8,500,False,HTTP 500
312,https://peaky.techcoder40.workers.dev/312.m3u8,500,False,HTTP 500
313,https://peaky.techcoder40.workers.dev/313.m3u8,500,False,HTTP 500
314,https://peaky.techcoder40.workers.dev/314.m3u8,500,False,HTTP 500
315,https://peaky.techcoder40.workers.dev/315.m3u8,500,False,HTTP 500
316,https://peaky.techcoder40.workers.dev/316.m3u8,500,False,HTTP 500
317,https://peaky.techcoder40.workers.dev/317.m3u8,500,False,HTTP 500
318,https://peaky.techcoder40.workers.dev/318.m3u8,500,False,HTTP 500
319,https://peaky.techcoder40.workers.dev/319.m3u8,500,False,HTTP 500
320,https://peaky.techcoder40.workers.dev/320.m3u8,500,False,HTTP 500
321,https://peaky.techcoder40.workers.dev/321.m3u8,500,False,HTTP 500
322,https://peaky.techcoder40.workers.dev/322.m3u8,500,False,HTTP 500
323,https://peaky.techcoder40.workers.dev/323.m3u8,500,False,HTTP 500
324,https://peaky.techcoder40.workers.dev/324.m3u8,500,False,HTTP 500
325,https://peaky.techcoder40.workers.dev/325.m3u8,500,False,HTTP 500
326,https://peaky.techcoder40.workers.dev/326.m3u8,500,False,HTTP 500
